File,Node,Original,Translated
item,0:n,Kutna,Cloth Armor 
item,0:d,obrana 2-3,Defense 2-3
item,1:n,Kožená vesta,Leather Vest 
item,1:d,obrana 3-4,Defense 3-4
item,2:n,Kroužková zbroj,Chainmail Armor 
item,2:d,obrana 4-6,Defense 4-6
item,3:n,Plátové brnění,Plate Armor 
item,3:d,obrana 6-8,Defense 6-8
item,4:n,Rytířská zbroj,Knight's Armor 
item,4:d,obrana 10-12,Defense 10-12
item,5:n,Brnění z oceli Avalonů,Avalon Steel Armor 
item,5:d,"obrana 16-22, živly +30%","Defense 16-22, Elements +30%"
item,6:n,Dýka,Dagger 
item,6:d,útok 2-3,Attack 2-3
item,7:n,Hůl,Staff 
item,7:d,"útok 3-5, obrana 2-4","Attack 3-5, Defense 2-4"
item,8:n,Velké válečné kladivo,Great War Hammer 
item,8:d,"útok 12-15, obrana 1-2","Attack 12-15, Defense 1-2"
item,9:n,Kopí,Spear 
item,9:d,"útok 5-7, obrana 2-4","Attack 5-7, Defense 2-4"
item,10:n,Kuše,Crossbow 
item,10:d,útok 10-14,Attack 10-14
item,11:n,Kyj,Mace 
item,11:d,"útok 7-8, obrana +2","Attack 7-8, Defense +2"
item,12:n,Luk,Bow 
item,12:d,útok 8-12,Attack 8-12
item,13:n,Meč,Sword 
item,13:d,"útok 5-7, obrana 2-3","Attack 5-7, Defense 2-3"
item,14:n,Meč Bastard,Bastard Sword 
item,14:d,"útok 11-13, obrana 2-3","Attack 11-13, Defense 2-3"
item,15:n,Obouruční meč,Two-Handed Sword 
item,15:d,"útok 15-17, obrana +2","Attack 15-17, Defense +2"
item,16:n,Řemdih,Flail 
item,16:d,útok 7-9,Attack 7-9
item,17:n,Šavle,Saber 
item,17:d,"útok 6-7, obrana 2-3","Attack 6-7, Defense 2-3"
item,18:n,Jednobřitá sekyra,Single-Edged Axe 
item,18:d,"útok 6-8, obrana +1","Attack 6-8, Defense +1"
item,19:n,Dvoubřitá sekyra,Double-Edged Axe 
