id,string
0,Fireball
3,Acceleration
6,Magic Missile
9,Fire Sword
12,Blinding
15,Berserker
18,Incineration
21,Water
24,Icy Breath
27,Defense
30,Ice Blood
33,Bleeding
36,Abyss
39,Energy Drain
42,Bread
45,Healing Touch
48,Eye for an Eye
51,Quake
54,Reincarnation
57,Mana Source
60,Deflecting Stance
63,Lightning
66,Enemy Status
69,Deadly Breath
72,Teleportation
75,Crushing
78,Holding
81,Scales of Fate
84,Automapping
87,Gathering
90,Mental Attack
93,Invisibility
96,True Seeing
99,Magic Resistance
102,Demon
